src_pe =           0, dst_pe =           1, direction = 10,  hop count = 001000, packet = 88010 at time 0ns
src_pe =           1, dst_pe =           0, direction = 00,  hop count = 001000, packet = 08100 at time 0ns
src_pe =           2, dst_pe =           0, direction = 00,  hop count = 011000, packet = 18200 at time 0ns
src_pe =           3, dst_pe =           0, direction = 00,  hop count = 111000, packet = 38300 at time 0ns
src_pe =           4, dst_pe =           0, direction = 01,  hop count = 000001, packet = 41400 at time 0ns
src_pe =           5, dst_pe =           0, direction = 01,  hop count = 001001, packet = 49500 at time 0ns
src_pe =           6, dst_pe =           0, direction = 01,  hop count = 011001, packet = 59600 at time 0ns
src_pe =           7, dst_pe =           0, direction = 01,  hop count = 111001, packet = 79700 at time 0ns
src_pe =           8, dst_pe =           0, direction = 01,  hop count = 000011, packet = 43800 at time 0ns
src_pe =           9, dst_pe =           0, direction = 01,  hop count = 001011, packet = 4b900 at time 0ns
src_pe =          10, dst_pe =           0, direction = 01,  hop count = 011011, packet = 5ba00 at time 0ns
src_pe =          11, dst_pe =           0, direction = 01,  hop count = 111011, packet = 7bb00 at time 0ns
src_pe =          12, dst_pe =           0, direction = 01,  hop count = 000111, packet = 47c00 at time 0ns
src_pe =          13, dst_pe =           0, direction = 01,  hop count = 001111, packet = 4fd00 at time 0ns
src_pe =          14, dst_pe =           0, direction = 01,  hop count = 011111, packet = 5fe00 at time 0ns
src_pe =          15, dst_pe =           0, direction = 01,  hop count = 111111, packet = 7ff00 at time 0ns
src_pe =           0, dst_pe =           2, direction = 10,  hop count = 011000, packet = 98020 at time 0ns
src_pe =           1, dst_pe =           2, direction = 10,  hop count = 001000, packet = 88120 at time 0ns
src_pe =           2, dst_pe =           1, direction = 00,  hop count = 001000, packet = 08210 at time 0ns
src_pe =           3, dst_pe =           1, direction = 00,  hop count = 011000, packet = 18310 at time 0ns
src_pe =           4, dst_pe =           1, direction = 11,  hop count = 001001, packet = c9410 at time 0ns
src_pe =           5, dst_pe =           1, direction = 01,  hop count = 000001, packet = 41510 at time 0ns
src_pe =           6, dst_pe =           1, direction = 01,  hop count = 001001, packet = 49610 at time 0ns
